listing_id,high,medium,low
7171949,0.038,0.52345,0.43855
7185456,0.01,0.079,0.911
6855487,0.023,0.129,0.848
6873373,0.017,0.1285,0.8545
6902233,0.038,0.128833333,0.833166667
6873033,0.013666667,0.094166667,0.892166667
6937777,0.105,0.33,0.565
6910712,0.0705,0.5965,0.333
6855602,0.039,0.644333333,0.316666667
6854624,0.099,0.285,0.616
6943052,0.066,0.3315,0.6025
6922225,0.016,0.069678571,0.914321429
6873570,0.022,0.068678571,0.909321429
6854704,0.01,0.149666667,0.840333333
6855516,0.023,0.787,0.19
6938382,0.035,0.6695,0.2955
6873017,0.035,0.6695,0.2955
6855544,0.058,0.235,0.707
6867603,0.005,0.5299,0.4651
6902255,0.029,0.103333333,0.867666667
6918889,0.006,0.5449,0.4491
7079965,0.066,0.295,0.639
6943672,0.002,0.5035,0.4945
6921692,0.013,0.118,0.869
6943178,0.002,0.034,0.964
6911111,0.007,0.084,0.909
6901748,0.003,0.023,0.974
6854687,0.0295,0.0979,0.8726
6888879,0.012,0.154571429,0.833428571
6921835,0.033833333,0.136933333,0.829233333
6938434,0.064,0.52,0.416
6921646,0.053,0.605,0.342
6901908,0.0418,0.1568,0.8014
6922714,0.02,0.087,0.893
6814711,0.053,0.23,0.717
6866917,0.0418,0.1568,0.8014
6854706,0.025333333,0.119,0.855666667
6889336,0.009,0.091,0.9
6938028,0.065,0.423,0.512
6873152,0.052,0.139,0.809
6855351,0.027,0.08,0.893
6910064,0.07,0.201,0.729
6867402,0.064,0.1485,0.7875
6943772,0.074,0.1655,0.7605
6937850,0.04,0.542333333,0.417666667
6910962,0.047,0.478,0.475
6855268,0.018,0.203,0.779
6942906,0.067,0.365,0.568
6910418,0.026,0.159,0.815
6901515,0.0258,0.3162,0.658
6868052,0.064,0.402,0.534
6867904,0.032,0.489,0.479
6889667,0.025,0.192,0.783
6901643,0.019,0.203,0.778
6937705,0.007,0.02125,0.97175
6922542,0.038,0.577,0.385
7061356,0.0375,0.2205,0.742
6969589,0.025,0.2415,0.7335
7060569,0.04,0.3075,0.6525
7049593,0.02,0.23,0.75
7159821,0.01225,0.49275,0.495
7173324,0.03,0.4715,0.4985
7200811,0.017,0.476,0.507
7110452,0.0274,0.3181,0.6545
7092706,0.019,0.22325,0.75775
7061476,0.034,0.296666667,0.669333333
7092476,0.011,0.078,0.911
6970100,0.159,0.429,0.412
7211772,0.144666667,0.35495,0.500383333
7178339,0.048,0.442166667,0.509833333
7195130,0.05,0.295433333,0.654566667
7185281,0.054,0.325266667,0.620733333
7211847,0.057,0.858,0.085
7110961,0.091,0.725,0.184
6958983,0.11,0.463333333,0.426666667
7132113,0.045,0.2013,0.7537
7211478,0.055,0.224333333,0.720666667
7159499,0.029,0.163833333,0.807166667
7159769,0.035,0.275666667,0.689333333
7178180,0.056,0.326666667,0.617333333
7171459,0.03,0.123128571,0.846871429
7031715,0.092,0.141333333,0.766666667
7200626,0.043,0.518666667,0.438333333
7131955,0.049,0.511688095,0.439311905
6970077,0.123,0.445,0.432
7159269,0.023,0.5956,0.3814
7110982,0.018,0.76235,0.21965
7050454,0.039,0.61495,0.34605
6959739,0.051,0.468183333,0.480816667
7172339,0.069,0.230995238,0.700004762
7110150,0.054,0.206,0.74
7211573,0.072,0.452916667,0.475083333
7159626,0.107,0.296166667,0.596833333
7105154,0.079,0.292666667,0.628333333
7065856,0.066,0.319433333,0.614566667
6970445,0.233,0.414,0.353
7093219,0.047,0.2555,0.6975
6958498,0.045,0.339,0.616
7061345,0.02,0.241,0.739
7134494,0.026,0.222583333,0.751416667
7158983,0.021,0.223666667,0.755333333
7195217,0.021,0.223666667,0.755333333
7136709,0.03,0.510666667,0.459333333
7160365,0.025,0.54,0.435
7136198,0.015,0.1535,0.8315
7171233,0.017,0.172,0.811
7110250,0.017,0.113333333,0.869666667
7079716,0.025,0.146,0.829
7173753,0.013,0.133666667,0.853333333
7115199,0.073,0.349702381,0.577297619
7172462,0.086,0.319369048,0.594630952
7194644,0.088333333,0.426029365,0.485637302
7049414,0.05,0.343035714,0.606964286
7110696,0.019,0.143,0.838
7226750,0.002,0.059333333,0.938666667
7159398,0.01,0.048,0.942
7209442,0.026,0.17395,0.80005
7126981,0.018,0.1715,0.8105
7172516,0.015,0.188,0.797
7111193,0.025,0.1954,0.7796
7158827,0.021,0.168066667,0.810933333
7127078,0.015,0.185333333,0.799666667
7159292,0.014,0.148333333,0.837666667
7159489,0.027,0.2005,0.7725
7210389,0.03,0.224266667,0.745733333
7050483,0.13075,0.4245,0.44475
7171135,0.011,0.081,0.908
7210773,0.009,0.106,0.885
6958670,0.108,0.362183333,0.529816667
7172107,0.0878,0.230166667,0.682033333
7170974,0.113,0.358,0.529
7142206,0.076,0.171,0.753
7110399,0.076,0.171,0.753
7060612,0.075,0.2365,0.6885
7049435,0.106,0.375266667,0.518733333
7093390,0.148,0.348,0.504
6971227,0.163,0.409,0.428
6958226,0.079,0.2583,0.6627
6971271,0.13,0.493,0.377
6958652,0.146,0.339,0.515
6959521,0.151,0.408,0.441
7065959,0.126,0.401333333,0.472666667
7060804,0.078,0.223,0.699
6970295,0.1675,0.3655,0.467
6959589,0.033,0.153666667,0.813333333
7132580,0.006,0.04,0.954
7195581,0.014,0.11,0.876
7173477,0.011,0.145,0.844
7178174,0.021,0.074,0.905
7160246,0.009,0.061,0.93
7173057,0.072,0.153,0.775
7211584,0.034,0.06,0.906
7078706,0.107,0.499,0.394
7131595,0.013,0.065,0.922
7098642,0.069,0.1835,0.7475
7211024,0.074,0.227666667,0.698333333
7131962,0.037,0.279,0.684
7159052,0.035333333,0.391,0.573666667
7031636,0.055,0.276666667,0.668333333
7038755,0.007,0.11,0.883
7002333,0.012333333,0.057666667,0.93
7003176,0.014,0.358083333,0.627916667
7075003,0.012,0.087,0.901
7135579,0.021,0.285,0.694
7120656,0.036,0.143,0.821
7050324,0.059,0.24,0.701
7195212,0.069,0.2655,0.6655
7126641,0.094,0.310333333,0.595666667
7060557,0.061,0.394,0.545
7171863,0.257,0.295,0.448
7074110,0.122,0.459333333,0.418666667
7039564,0.002,0.107,0.891
7139962,0.095,0.198,0.707
7120702,0.044,0.239,0.717
7120732,0.04,0.19,0.77
7031140,0.034,0.398,0.568
7025890,0.023,0.229,0.748
7024864,0.022,0.124,0.854
7071556,0.01,0.128,0.862
7211113,0.036,0.459583333,0.504416667
7170153,0.001,0.015,0.984
7201475,0.044,0.197,0.759
7031414,0.098,0.249,0.653
7071734,0.046,0.218166667,0.735833333
7074638,0.013,0.162,0.825
7032029,0.023,0.323,0.654
7025704,0.023,0.106,0.871
7093463,0.023,0.11,0.867
7134782,0.125,0.37,0.505
7078248,0.12125,0.20375,0.675
7139704,0.065,0.264,0.671
7050490,0.042,0.17,0.788
7074670,0.127,0.298,0.575
7032327,0.093,0.29335,0.61365
7033343,0.113,0.231,0.656
7031149,0.046,0.226,0.728
7008063,0.03,0.763,0.207
7232123,0.079,0.193166667,0.727833333
7170200,0.082,0.337,0.581
7032272,0.009,0.121,0.87
7192900,0.033,0.18675,0.78025
7210218,0.3808,0.4002,0.219
6957654,0.035,0.282416667,0.682583333
6847666,0.212,0.357,0.431
