listing_id,high,medium,low
7171949,0.05367211,0.615010667,0.331317223
7185456,0.019704663,0.143039525,0.837255813
6921692,0.007608156,0.065698726,0.926693118
6855487,0.019823971,0.122099318,0.858076711
6943178,0.015271481,0.056249075,0.928479444
6911111,0.005275053,0.066895081,0.927829866
6901748,0.003719447,0.046067987,0.950212566
6873373,0.021233195,0.120300761,0.858466044
6902233,0.007611077,0.094476902,0.897912021
6910064,0.051917256,0.183855325,0.764227419
6873033,0.007945998,0.067800063,0.92425394
6937777,0.091585649,0.268578196,0.639836154
6910712,0.061749743,0.606852483,0.331397774
6855602,0.051749743,0.61523535,0.333014907
6854624,0.105646147,0.192428634,0.701925219
6855544,0.044958647,0.095184673,0.85985668
6867603,0.005282969,0.527540858,0.467176173
6902255,0.012952247,0.054772559,0.932275194
6918889,0.005024043,0.5315947,0.463381258
6943672,0.004989673,0.509042414,0.485967913
6854687,0.015591389,0.070443069,0.913965542
6888879,0.007264082,0.182161236,0.810574682
6921835,0.010490855,0.043321439,0.946187706
6938434,0.036530788,0.657060352,0.30640886
6921646,0.024030788,0.691560352,0.28440886
6943052,0.071564393,0.287757418,0.64067819
6854706,0.023568094,0.109108612,0.867323294
6922225,0.018237041,0.23697179,0.744791169
6873570,0.023218926,0.250177089,0.726603985
6854704,0.057141449,0.257798913,0.685059638
6937850,0.02888826,0.536724502,0.434387238
6901908,0.018306641,0.305968852,0.675724507
6910962,0.03263826,0.48870218,0.478659559
6922714,0.003936799,0.102400585,0.893662616
6855268,0.011427924,0.117405041,0.871167035
6942906,0.026818743,0.196873642,0.776307615
6910418,0.014406828,0.145667156,0.839926017
6901515,0.014318743,0.179192838,0.806488418
6814711,0.015785089,0.498619303,0.485595607
6868052,0.030658787,0.209863455,0.759477758
6867904,0.02388826,0.508891169,0.467220571
6889667,0.009533039,0.100554794,0.889912168
6901643,0.010560674,0.165930262,0.823509064
6937705,0.007283868,0.026745372,0.96597076
6922542,0.02388826,0.550035514,0.426076226
6866917,0.018306641,0.305968852,0.675724507
6889336,0.015487228,0.069806448,0.914706324
6855516,0.014053571,0.850543445,0.135402984
6938382,0.021375,0.796153564,0.182471436
6873017,0.021375,0.796153564,0.182471436
7079965,0.118616479,0.298103406,0.583280115
6938028,0.121928633,0.356367003,0.521704364
6873152,0.08634954,0.104427255,0.809223205
6855351,0.042012571,0.052092236,0.905895193
6867402,0.021162772,0.191859239,0.786977989
6943772,0.027899019,0.214456818,0.757644163
7061345,0.047018843,0.242525411,0.710455746
7134494,0.011322084,0.184356876,0.80432104
7158983,0.009326923,0.196244817,0.794428259
7195217,0.009326923,0.196244817,0.794428259
7061356,0.026134684,0.210432003,0.763433313
7136709,0.037727501,0.561022176,0.401250323
7160365,0.038046035,0.547754787,0.414199178
7136198,0.019759611,0.143599704,0.836640685
6969589,0.025848527,0.346844908,0.627306564
7060569,0.081752299,0.325102443,0.593145258
7049593,0.01876421,0.181040089,0.800195702
7171233,0.009959299,0.163716517,0.826324184
7110250,0.009473465,0.08167347,0.908853066
7079716,0.006849121,0.120484058,0.872666822
7173753,0.0135144,0.080256375,0.906229225
