listing_id,high,medium,low
7171949,0.043349887,0.534408925,0.422241187
7185456,0.01750155,0.089843561,0.892654889
7061356,0.02436144,0.203460691,0.77217787
6969589,0.022126407,0.198771655,0.779101938
6902233,0.030622389,0.095437888,0.873939723
6873033,0.01275137,0.073726565,0.913522065
6937777,0.088391937,0.187346678,0.724261386
6910064,0.05761321,0.186787052,0.755599737
6910712,0.045426492,0.556848573,0.397724935
6855602,0.042796284,0.565081956,0.392121761
6888879,0.009446074,0.235464239,0.755089687
6921835,0.013576421,0.067186576,0.919237003
6854624,0.079968162,0.190595103,0.729436735
6855544,0.012536834,0.106472465,0.880990701
6921692,0.006623711,0.074961266,0.918415023
6855487,0.007545246,0.068101231,0.924353523
6873373,0.01147705,0.086961947,0.901561003
6938434,0.052285023,0.242582909,0.705132068
6921646,0.010405532,0.248368016,0.741226452
6854687,0.035595512,0.090576167,0.873828321
6867603,0.002433494,0.524417922,0.473148585
6902255,0.036573192,0.07890117,0.884525638
6918889,0.003011479,0.540172384,0.456816136
6943672,0.002723748,0.504020831,0.493255421
6889336,0.029595643,0.125703084,0.844701273
6937850,0.03796166,0.468061452,0.493976887
6901908,0.018990184,0.103924778,0.877085038
6910962,0.032307462,0.417800663,0.549891876
6922714,0.007201012,0.10088821,0.891910778
6855268,0.022317105,0.241827579,0.735855316
6942906,0.023662637,0.188086758,0.788250605
6910418,0.020006926,0.134043048,0.845950025
6901515,0.018499098,0.249760099,0.731740804
6814711,0.024147346,0.300571198,0.675281455
6868052,0.029609273,0.2527395,0.717651227
6867904,0.033055702,0.428926423,0.538017874
6889667,0.03000418,0.256688529,0.713307291
6901643,0.022265671,0.161947726,0.815786602
6937705,0.021891716,0.020599083,0.957509201
6922542,0.027694036,0.478929001,0.493376963
6866917,0.018990184,0.103924778,0.877085038
6943052,0.054743666,0.339442226,0.605814107
6854706,0.038024612,0.152079658,0.809895731
6922225,0.025749385,0.209047768,0.765202848
6873570,0.029296193,0.161339738,0.809364069
6854704,0.049458586,0.289333198,0.661208216
6943178,0.002791081,0.022364319,0.9748446
6911111,0.018014749,0.075068399,0.906916852
6901748,0.004892822,0.020946201,0.974160978
6938028,0.100870736,0.297858519,0.601270746
6873152,0.068466409,0.120480778,0.811052813
6855351,0.02704192,0.079646636,0.893311444
6867402,0.027591181,0.1816989,0.79070992
6943772,0.036062592,0.1790854,0.784852008
6855516,0.019524333,0.82293466,0.157541007
6938382,0.024586833,0.763874617,0.21153855
6873017,0.024586833,0.763874617,0.21153855
7079965,0.0660939,0.358858553,0.575047548
7060569,0.041413206,0.265830527,0.692756267
7049593,0.022041692,0.146550691,0.831407617
7172516,0.017853991,0.117086315,0.865059694
7110452,0.022271478,0.224227173,0.753501349
7092706,0.010100526,0.155301926,0.834597548
7061476,0.054278001,0.229501497,0.716220503
7171135,0.010433418,0.097648098,0.891918484
7210773,0.013546445,0.105917572,0.880535984
7092476,0.022543418,0.167238345,0.810218237
6958670,0.112726695,0.313444127,0.573829178
7172107,0.082220577,0.294361526,0.623417897
7142206,0.051629769,0.171968599,0.776401632
7110399,0.051629769,0.171968599,0.776401632
7060612,0.065155795,0.205699916,0.729144289
7211772,0.068154588,0.443509345,0.488336067
7159269,0.040399777,0.533950215,0.425650009
7110982,0.034058217,0.656509618,0.309432166
7050454,0.064157476,0.561684252,0.374158272
6959739,0.051353131,0.457609973,0.491036897
7105154,0.070629175,0.35970074,0.569670085
7065856,0.101097947,0.280493013,0.61840904
7060804,0.054411779,0.356223755,0.589364466
7134494,0.01874207,0.128461361,0.852796569
7158983,0.011727655,0.131169918,0.857102427
7195217,0.011727655,0.131169918,0.857102427
7136709,0.038891592,0.441626601,0.519481807
7160365,0.031326288,0.453576209,0.515097504
7136198,0.022812476,0.126055593,0.851131931
7226750,0.007504525,0.078326992,0.914168483
7159821,0.043992816,0.550754171,0.405253013
7173324,0.042837961,0.525628438,0.431533601
7200811,0.037981956,0.533984754,0.42803329
7093219,0.108062644,0.279095308,0.612842048
6958498,0.089358021,0.310343242,0.600298737
7170974,0.094327236,0.322345288,0.583327476
7049435,0.172449537,0.453179148,0.374371315
6958652,0.123971566,0.495652342,0.380376093
6959521,0.151988151,0.453761993,0.394249857
7065959,0.130539997,0.431336207,0.438123796
7093390,0.144295365,0.392520189,0.463184446
6970295,0.162219037,0.429262082,0.408518881
6971227,0.159120094,0.417409617,0.423470289
6959589,0.049580314,0.18048043,0.769939255
6970100,0.159445792,0.511227854,0.329326354
7178339,0.080480525,0.502815461,0.416704015
7195130,0.068117946,0.410616558,0.521265496
7185281,0.061735804,0.421576804,0.516687391
7211847,0.045001666,0.877064157,0.077934177
7110961,0.064110505,0.808781734,0.12710776
6958983,0.145230228,0.485782646,0.368987126
7132113,0.060731446,0.204246972,0.735021583
7211478,0.101565263,0.228534657,0.66990008
7159499,0.065706538,0.198441353,0.73585211
7159769,0.054864662,0.243723891,0.701411447
7178180,0.069566197,0.295594826,0.634838978
7171459,0.063927952,0.297645968,0.63842608
7031715,0.106953313,0.274420378,0.618626309
7200626,0.055881075,0.53430312,0.409815805
7131955,0.046653792,0.518750691,0.434595517
6970077,0.14322576,0.510903446,0.345870793
7172339,0.038290633,0.182187418,0.779521949
7110150,0.024902042,0.160672585,0.814425374
7211573,0.103338903,0.46563634,0.431024757
7159626,0.116687379,0.376307716,0.507004905
6958226,0.097324193,0.35971658,0.542959228
7061345,0.04772537,0.234445786,0.717828844
7171233,0.021707689,0.186042709,0.792249602
7110250,0.016749231,0.117309767,0.865941002
7079716,0.017500579,0.123334851,0.85916457
7173753,0.025581087,0.119034882,0.855384031
7115199,0.089730084,0.354746866,0.555523051
7172462,0.093099062,0.371963978,0.53493696
7194644,0.075957201,0.423253219,0.50078958
7049414,0.078341615,0.34699269,0.574665696
7110696,0.025331015,0.236523133,0.738145852
7159398,0.026653186,0.134414105,0.838932709
7209442,0.022713972,0.507274728,0.4700113
7126981,0.028691574,0.336533727,0.634774699
7111193,0.029505548,0.198326826,0.772167625
7158827,0.017077269,0.193241369,0.789681362
7127078,0.021512796,0.186440668,0.792046536
7159292,0.023240907,0.172264842,0.804494251
7159489,0.02593042,0.232473568,0.741596012
7210389,0.025755072,0.225046548,0.749198381
7050483,0.136124903,0.426151497,0.4377236
6971271,0.115204492,0.479760197,0.405035311
6970445,0.101934781,0.474672621,0.423392598
7206224,0.240648594,0.2922744,0.467077006
6878774,0.047515516,0.172261947,0.780222537
7171384,0.028020913,0.217906476,0.754072611
7170992,0.028020913,0.217906476,0.754072611
6988572,0.048915317,0.246893776,0.704190907
6878277,0.04875814,0.18107225,0.77016961
6910739,0.054724485,0.325196543,0.620078971
6902090,0.060201276,0.333893978,0.605904746
7001955,0.082067149,0.398838682,0.519094169
7042122,0.061508956,0.348235606,0.590255437
6997249,0.064903107,0.546222707,0.388874186
6988388,0.091718247,0.466663412,0.441618341
6982474,0.093228758,0.407696451,0.499074791
7002176,0.090192568,0.501721541,0.408085891
6948323,0.139534965,0.315919958,0.544545077
6879613,0.115082048,0.340639703,0.544278249
6840198,0.11039179,0.107092875,0.782515335
6902633,0.063614997,0.165054973,0.77133003
6933575,0.056133148,0.255494322,0.68837253
6902630,0.031578844,0.103451078,0.864970077
6933362,0.07125,0.272984722,0.655765278
6826849,0.074707031,0.314462587,0.610830382
7215680,0.036064495,0.365741074,0.598194431
7170759,0.03833888,0.288344416,0.673316704
7231994,0.029123182,0.184485697,0.786391121
7104423,0.053460892,0.230401536,0.716137572
7134896,0.053460892,0.230401536,0.716137572
7135509,0.047751001,0.192548542,0.759700457
7075663,0.04870125,0.31151637,0.639782381
6983615,0.030748632,0.300439465,0.668811903
7233385,0.024368818,0.125004284,0.850626898
7041937,0.049336586,0.351231051,0.599432363
7194964,0.030330291,0.236209425,0.733460284
7213930,0.03348237,0.306167131,0.660350499
7126849,0.010065881,0.475691618,0.514242501
6986458,0.022019151,0.748842163,0.229138686
6948002,0.012690782,0.684603618,0.3027056
6845100,0.09560705,0.454709171,0.449683779
7071977,0.044200366,0.225164255,0.730635378
6911483,0.046897044,0.405119754,0.547983202
6932251,0.030746591,0.421580005,0.547673405
6901106,0.059474602,0.283336423,0.657188975
7110771,0.364251301,0.371568262,0.264180436
6989393,0.09650979,0.297357924,0.606132285
7017091,0.070515255,0.709139985,0.22034476
7018803,0.063558358,0.652118452,0.28432319
7126438,0.004034982,0.062610485,0.933354533
7126133,0.012130726,0.172925707,0.814943567
6848025,0.021020807,0.186902352,0.792076841
7127054,0.007333625,0.142284324,0.850382051
6918761,0.182542463,0.307780879,0.509676658
6879370,0.066610522,0.267341412,0.666048065
6843889,0.061757848,0.344374409,0.593867742
6878518,0.040304685,0.364943176,0.594752139
6882614,0.019696732,0.389734331,0.590568937
6813855,0.015163317,0.409924024,0.574912659
7195485,0.020243051,0.485902088,0.49385486
6983626,0.037452526,0.426058834,0.53648864
7060857,0.021680264,0.142600358,0.835719378
6989938,0.199104205,0.311950892,0.488944903
6983346,0.200156922,0.282569391,0.517273687
7041705,0.028385886,0.198796847,0.772817267
7173330,0.02491735,0.622508405,0.352574246
7043173,0.038485485,0.307919103,0.653595412
7038565,0.016720401,0.128246082,0.855033517
6989911,0.04838194,0.30815624,0.64346182
6882401,0.044649705,0.158466252,0.796884043
7126184,0.293214492,0.24778197,0.459003538
7110291,0.350999221,0.200829218,0.448171561
6932041,0.048914732,0.504058175,0.447027093
7104684,0.199022225,0.407730246,0.393247529
6935753,0.134733689,0.653789298,0.211477013
7199220,0.026968893,0.159582074,0.813449033
6832879,0.108482625,0.156847647,0.734669729
7198604,0.178449518,0.17040923,0.651141252
7199656,0.015098098,0.093839267,0.891062635
6831380,0.019386227,0.116398818,0.864214955
6832010,0.02153206,0.115023818,0.863444122
6873892,0.032001655,0.158144566,0.809853779
7061107,0.045143031,0.462533721,0.492323248
7126808,0.006726599,0.143757995,0.849515406
6901036,0.009497774,0.271189585,0.719312641
6996750,0.076677108,0.350714575,0.572608317
6987977,0.048227101,0.466380415,0.485392484
6832167,0.163627344,0.219112169,0.617260487
7110767,0.136368354,0.410134936,0.45349671
7173217,0.07785821,0.373567545,0.548574245
7072083,0.050197368,0.324294852,0.62550778
7064404,0.008548876,0.131946806,0.859504318
6848396,0.010207728,0.107632831,0.882159442
6966753,0.136185783,0.471309236,0.392504981
7018466,0.043370692,0.420320492,0.536308816
6960220,0.105396763,0.671739781,0.222863456
6968090,0.061938194,0.76908163,0.168980176
6878977,0.023596404,0.192851031,0.783552565
6919645,0.024177248,0.203284938,0.772537814
7170705,0.033679448,0.191263591,0.775056961
7173726,0.128081312,0.621146663,0.250772025
7127337,0.032268727,0.266191298,0.701539976
7126620,0.100167842,0.614521821,0.285310337
7126535,0.072102232,0.262015524,0.665882244
7063630,0.379680315,0.369291374,0.251028311
7064310,0.037845747,0.417713669,0.544440585
6989934,0.032196462,0.186967647,0.78083589
7071821,0.043678724,0.498224041,0.458097235
7110541,0.164025918,0.647215287,0.188758795
6819538,0.206878156,0.622265661,0.170856183
6832562,0.198798876,0.464675995,0.336525129
7127182,0.309629012,0.449890443,0.240480545
7171627,0.342301437,0.47013887,0.187559692
6847762,0.228790852,0.363502418,0.407706731
6973708,0.064690342,0.341989411,0.593320247
6967317,0.075809626,0.576246265,0.347944109
6954060,0.087150798,0.541761491,0.371087711
7172265,0.141190404,0.442447505,0.416362091
7172207,0.118556495,0.56425787,0.317185635
7172790,0.127820131,0.529166384,0.343013485
7126241,0.064236416,0.382670152,0.553093432
7170858,0.30199361,0.411170743,0.286835647
6900853,0.008933867,0.113060487,0.878005646
7181729,0.010557796,0.132419518,0.857022687
7061601,0.023908881,0.177328592,0.798762527
7064182,0.30507299,0.454419949,0.240507061
7127268,0.291321625,0.384626528,0.324051847
7172356,0.289244939,0.407899696,0.302855366
7079372,0.261960879,0.431508956,0.306530165
7071874,0.266805505,0.436433333,0.296761162
6818423,0.092989067,0.256118955,0.650891978
6920148,0.12655335,0.573389058,0.300057592
6882138,0.138645588,0.340301164,0.521053247
6982490,0.198599632,0.333163835,0.468236532
6991550,0.080218235,0.293445702,0.626336063
6844690,0.048696894,0.276845374,0.674457732
6886594,0.017032897,0.072921981,0.910045122
6878312,0.049946894,0.275595374,0.674457732
6878859,0.014867725,0.122104527,0.863027748
6902102,0.020750217,0.088350649,0.890899134
7042616,0.029525382,0.092525583,0.877949035
7170075,0.027589941,0.147545748,0.824864311
6844654,0.014867725,0.122104527,0.863027748
7126891,0.097262626,0.447094552,0.455642822
7099231,0.032223342,0.24198403,0.725792628
7126839,0.217973293,0.389333512,0.392693195
7127360,0.025877902,0.273847503,0.700274595
7172050,0.106273662,0.42166644,0.472059899
7173017,0.032223342,0.24198403,0.725792628
6968487,0.073527955,0.46750444,0.458967605
6847747,0.0160862,0.201070808,0.782842991
7126232,0.117695411,0.248263436,0.634041153
7126583,0.019050525,0.158671644,0.822277831
6816087,0.032184565,0.26892134,0.698894095
6940586,0.04351846,0.352210134,0.604271406
6902598,0.013578606,0.178088903,0.808332491
6879444,0.028832078,0.195778324,0.775389598
7001888,0.048247462,0.214507858,0.737244681
6981971,0.039048598,0.308801936,0.652149465
6996343,0.036497301,0.345661117,0.617841582
7041946,0.062974252,0.280397781,0.656627967
6910807,0.016850174,0.147081543,0.836068283
7173357,0.022025299,0.161723316,0.816251384
7092380,0.023560987,0.143018552,0.833420462
6918697,0.012500223,0.133745078,0.853754699
6988932,0.033230014,0.137043347,0.829726639
7063380,0.025012479,0.114029334,0.860958187
6941774,0.03145736,0.178666551,0.78987609
6833387,0.171917828,0.427593991,0.400488181
7032185,0.338115721,0.447308013,0.214576267
7216607,0.17078885,0.393043204,0.436167947
7011514,0.329805194,0.451002582,0.219192224
7043174,0.31804677,0.480096051,0.201857179
7033302,0.162466633,0.366716196,0.470817171
7041169,0.307324392,0.447588264,0.245087344
7042889,0.307324392,0.447588264,0.245087344
7041460,0.219148888,0.364785046,0.416066066
6881630,0.331573616,0.457165261,0.211261123
7221511,0.157089821,0.414788415,0.428121764
7184085,0.12774112,0.353288349,0.518970532
7032299,0.143815471,0.38148978,0.474694749
7041280,0.102120318,0.283019601,0.614860081
7031531,0.184199687,0.409331586,0.406468727
6832227,0.180005818,0.448685913,0.371308268
6933326,0.097462977,0.332090396,0.570446627
6932899,0.144315093,0.371092993,0.484591915
6960173,0.078561646,0.363757339,0.557681015
6975493,0.055286271,0.112299264,0.832414465
6873791,0.051508231,0.12285654,0.825635229
6833626,0.014437759,0.102753428,0.882808814
6868341,0.043988804,0.102215278,0.853795918
6927713,0.038079744,0.252175453,0.709744804
7002235,0.080858545,0.359890521,0.559250934
6902071,0.013145093,0.151967691,0.834887216
6901862,0.000370484,0.030055198,0.969574317
6867089,0.016389451,0.205884227,0.777726322
6867096,0.02360607,0.158796268,0.817597662
6818373,0.056191526,0.812721954,0.13108652
6963980,0.66689992,0.14504809,0.18805199
6959744,0.064117955,0.265375643,0.670506401
6816590,0.079264585,0.217973383,0.702762032
7002492,0.070164815,0.188012313,0.741822873
6935951,0.019485706,0.213979347,0.766534946
7091378,0.192978525,0.27402936,0.532992114
7052232,0.131410437,0.238655562,0.629934001
